0   1537.3
5	1537.38
10	1537.46
15	1537.55
20	1537.63
25	1537.7
30	1537.78
35	1537.78
40	1537.82
45	1537.87
50	1537.92
55	1537.73
60	1537.58
65	1537.43
70	1537.25
75	1537.11
80	1536.57
85	1536.03
90	1535.51
95	1534.98
100	1534.46
125	1530.5
150	1527.09
175	1525.27
200	1523.43
225	1521.41
250	1519.31
275	1517.11
300	1514.81
325	1512.52
350	1510.16
375	1507.74
400	1505.26
450	1501.03
500	1496.61
550	1493.1
600	1489.51
650	1487.21
700	1484.86
800	1482.35
900	1481.45
1000	1481.65
1100	1482.31
1200	1483.04
1300	1483.75
1400	1484.44
1500	1485.04
1750	1487.67
2000	1491.01
2500	1498.77
3000	1507.17
4000	1523.98
5000	1541.93
5804	1557
